"# DO NOT VIEW BEFORE ANNOTATING -- de-anonymization key, not for the annotator"
cell_id,image_id,group,class_id
0,846,control,84
1,4247,top,424
2,9045,control,904
3,8078,top,807
4,5170,top,517
5,2883,top,288
6,4180,control,418
7,9048,top,904
8,1113,control,111
9,1096,control,109
10,4907,top,490
11,241,top,24
12,4117,top,411
13,4905,control,490
14,4221,control,422
15,9466,control,946
16,8287,control,828
17,227,control,22
18,2750,top,275
19,7781,control,778
20,3284,control,328
21,5080,top,508
22,4226,top,422
23,4227,control,422
24,9049,top,904
25,2755,control,275
26,6417,control,641
27,6418,top,641
28,8854,control,885
29,248,control,24
30,8855,top,885
31,4187,top,418
32,8548,control,854
33,7785,top,778
34,7376,top,737
35,4222,top,422
36,6114,control,611
37,4469,top,446
38,1092,top,109
39,7265,top,726
40,7261,control,726
41,840,top,84
42,9058,control,905
43,848,top,84
44,8908,control,890
45,8282,top,828
46,5330,control,533
47,773,control,77
48,7371,control,737
49,9046,top,904
50,267,control,26
51,2885,control,288
52,8858,top,885
53,8544,control,854
54,3288,top,328
55,8074,control,807
56,779,top,77
57,8850,control,885
58,9043,top,904
59,4464,control,446
60,8909,control,890
61,6111,top,611
62,9469,top,946
63,9041,control,904
64,8157,control,815
65,9138,top,913
66,9134,control,913
67,261,top,26
68,1097,control,109
69,1091,top,109
70,5338,top,533
71,9507,control,950
72,4231,control,423
73,8541,top,854
74,9503,top,950
75,847,control,84
76,1383,control,138
77,3986,control,398
78,8587,control,858
79,9040,control,904
80,8545,top,854
81,8156,top,815
82,5087,control,508
83,5882,top,588
84,5171,control,517
85,1118,top,111
86,8904,top,890
87,1382,top,138
88,3988,top,398
89,5888,control,588
90,8582,top,858
91,4116,top,411
92,9044,control,904
93,8906,top,890
94,4238,top,423
95,4113,control,411
96,9056,top,905
97,4114,control,411
98,4240,control,424
99,228,top,22
