image_id,class_id,total_unit_scale_votes,distinct_selected_units,distinct_blocks,distinct_layer_types,distinct_scales
4187,418,2188,464,15,3,8
8282,828,1048,238,16,3,9
4907,490,943,236,14,3,9
9046,904,881,234,15,3,9
2750,275,624,201,15,3,9
848,84,570,170,12,3,9
8156,815,561,139,14,3,8
9049,904,542,122,14,3,9
228,22,522,166,11,3,9
9138,913,428,131,11,3,9
7376,737,392,90,7,3,8
5882,588,390,120,14,3,9
4116,411,383,107,14,3,9
4238,423,380,100,6,3,9
8906,890,377,116,12,3,8
6111,611,370,102,14,3,9
1091,109,355,126,15,3,9
1092,109,348,109,12,3,8
8078,807,344,107,15,3,9
1382,138,342,95,16,3,9
8858,885,331,98,13,3,9
4247,424,330,151,10,3,9
8904,890,296,266,12,3,9
9043,904,288,109,14,3,9
4117,411,286,74,13,3,9
241,24,284,82,10,3,9
6418,641,280,80,7,3,9
9048,904,277,99,13,3,8
4226,422,273,75,6,3,8
4222,422,270,79,7,2,9
9503,950,256,71,9,2,9
261,26,255,92,11,3,9
779,77,250,133,15,3,9
5170,517,233,89,9,3,9
8541,854,231,58,11,2,9
3988,398,226,82,15,2,8
9056,905,226,52,10,3,9
5080,508,218,70,9,3,9
8855,885,214,70,10,2,8
7265,726,213,44,3,2,8
840,84,211,105,11,3,9
1118,111,208,94,11,1,9
2883,288,207,68,11,2,9
3288,328,204,51,10,3,8
5338,533,198,55,9,3,9
4469,446,188,62,10,3,9
7785,778,188,123,11,1,9
8582,858,187,51,9,3,9
9469,946,186,58,11,3,9
8545,854,185,48,13,1,9
4813,481,180,144,9,3,6
2819,281,178,45,6,1,8
3678,367,177,53,14,3,9
9856,985,177,65,10,2,9
6419,641,176,49,13,1,9
5388,538,175,68,13,2,9
8859,885,175,71,10,3,9
233,23,172,85,12,2,9
7010,701,162,38,10,2,9
2217,221,160,51,14,3,9
3137,313,158,39,11,2,9
6074,607,156,46,7,1,9
5334,533,152,67,15,2,9
1074,107,151,38,11,2,9
6320,632,151,54,11,3,9
35,3,150,71,10,1,9
4731,473,149,45,13,2,9
340,34,146,48,11,2,9
1096,109,145,57,13,2,9
4100,410,142,45,6,2,9
8414,841,142,56,15,2,9
5472,547,140,55,9,1,9
7211,721,140,46,12,3,9
6490,649,137,38,9,2,9
3659,365,136,47,10,2,9
8909,890,135,50,9,3,8
5650,565,134,47,8,2,9
2934,293,131,32,13,1,9
3937,393,131,43,12,2,9
5333,533,130,48,8,3,9
8241,824,130,51,12,3,9
8635,863,129,43,7,2,9
736,73,128,60,8,1,9
4334,433,127,40,10,2,9
6043,604,127,42,8,2,9
8142,814,127,43,8,2,9
7330,733,121,41,8,3,9
5999,599,120,55,12,2,9
244,24,118,53,9,2,9
5735,573,118,35,6,2,9
6694,669,118,45,9,3,9
6188,618,116,31,5,2,9
4898,489,115,36,7,3,7
5718,571,115,35,12,2,9
7946,794,115,34,7,3,9
4384,438,113,45,12,2,9
7297,729,111,47,6,3,9
2820,282,109,42,8,1,9
2859,285,109,28,9,1,7
9053,905,109,56,11,3,9
5515,551,108,33,8,2,9
1073,107,107,43,8,2,8
2937,293,107,40,9,1,9
7315,731,107,38,4,1,7
908,90,106,37,8,2,9
8851,885,106,34,8,2,9
2546,254,105,40,10,1,9
6482,648,105,41,13,2,6
3852,385,104,28,6,1,8
6466,646,104,37,8,2,9
9549,954,103,34,10,2,9
3927,392,102,38,10,1,9
3786,378,101,69,15,2,9
6408,640,101,27,8,3,8
6461,646,101,39,9,2,9
5574,557,100,35,9,2,8
6308,630,100,32,10,1,9
6400,640,100,28,7,2,9
5302,530,99,46,8,2,9
8525,852,98,38,6,3,9
47,4,97,49,11,2,8
3924,392,97,32,11,2,9
8074,807,97,22,6,2,9
5006,500,94,20,3,2,8
6235,623,94,53,8,1,9
4906,490,93,34,9,2,9
4913,491,93,25,5,2,9
3048,304,92,29,8,3,8
3984,398,92,41,13,2,9
7446,744,92,30,6,2,8
9167,916,92,36,12,2,9
9537,953,92,31,8,2,7
59,5,90,25,6,2,9
4333,433,90,25,7,2,9
8588,858,90,31,10,1,9
9722,972,90,30,8,2,9
418,41,89,51,12,3,9
8154,815,89,40,11,3,9
2564,256,88,21,7,1,9
5029,502,88,36,10,2,9
234,23,86,20,7,1,9
539,53,85,38,7,1,9
1567,156,85,25,9,1,8
4543,454,85,28,8,2,9
8158,815,84,22,6,2,9
245,24,83,38,7,2,9
1072,107,83,34,9,3,9
2939,293,83,26,6,2,9
2604,260,82,20,8,1,9
2904,290,82,28,9,3,9
8671,867,82,30,7,2,9
9878,987,82,24,9,2,9
1302,130,81,26,7,2,9
6269,626,81,27,11,1,7
8269,826,81,30,9,2,8
3608,360,80,32,10,1,9
7335,733,80,27,7,2,8
8114,811,80,28,7,2,9
762,76,79,23,7,2,7
9849,984,79,38,11,2,9
2600,260,78,24,7,2,8
3445,344,78,29,8,3,9
9354,935,78,25,6,2,9
2830,283,77,28,8,1,9
3085,308,77,24,6,2,8
5875,587,77,18,9,1,8
9410,941,77,20,7,2,9
503,50,76,21,6,2,8
5990,599,76,31,9,3,9
7695,769,76,28,7,3,8
6586,658,75,29,7,3,8
985,98,74,31,8,2,8
3985,398,74,31,10,2,8
4741,474,74,36,7,2,9
7980,798,73,35,8,2,9
9186,918,73,22,8,1,9
9841,984,73,24,7,1,9
5332,533,72,27,12,2,9
6327,632,72,32,10,3,9
8581,858,72,29,9,2,9
9509,950,72,18,7,2,9
4181,418,71,40,9,3,9
6859,685,71,28,8,2,9
7244,724,71,16,7,1,9
7728,772,71,31,10,2,9
622,62,70,19,7,1,8
6021,602,70,37,12,2,9
1113,111,69,30,8,1,9
3291,329,69,30,8,3,9
4185,418,69,26,9,2,8
9184,918,69,23,10,1,9
9188,918,69,19,10,2,8
960,96,68,20,7,1,8
7729,772,68,37,5,2,8
2101,210,67,15,3,2,8
2784,278,67,24,9,1,9
3301,330,67,28,8,1,9
3932,393,67,23,7,2,9
6115,611,67,19,8,2,9
9062,906,67,47,9,3,4
685,68,66,19,8,1,9
1598,159,66,24,5,2,9
9499,949,66,24,8,3,9
1006,100,65,29,6,1,9
2732,273,65,22,9,1,9
3631,363,65,25,8,1,8
4592,459,65,19,7,1,9
4815,481,65,37,14,1,9
6322,632,65,48,11,3,9
6427,642,65,51,10,3,9
8937,893,65,26,10,2,8
42,4,64,18,8,1,9
1692,169,64,26,6,1,9
5120,512,64,22,3,3,9
5229,522,64,27,8,2,9
7675,767,64,22,8,2,9
8127,812,64,17,5,1,9
9021,902,64,20,10,2,7
9796,979,64,24,8,1,9
782,78,63,32,10,2,9
7956,795,63,17,7,1,9
7963,796,63,23,7,3,9
8846,884,63,29,9,1,9
9176,917,63,18,5,3,8
3059,305,62,27,8,2,9
3400,340,62,21,8,1,9
4894,489,62,17,9,1,8
7094,709,62,16,5,2,9
7951,795,62,26,10,1,9
8885,888,62,25,10,1,9
5063,506,61,21,4,3,9
8134,813,61,35,7,1,8
8583,858,61,21,6,2,9
788,78,60,25,7,1,9
2099,209,60,23,10,2,9
7029,702,60,19,9,1,7
8945,894,60,21,7,1,9
69,6,59,17,7,1,8
247,24,59,25,8,1,8
1112,111,59,43,11,2,9
2532,253,59,14,8,1,8
4662,466,59,17,6,1,9
5336,533,59,15,7,1,8
8284,828,59,40,8,1,8
2480,248,58,17,6,3,7
2541,254,58,30,10,1,9
3792,379,58,20,9,1,9
4560,456,58,27,7,1,8
5330,533,58,27,9,3,9
6759,675,58,25,14,1,8
8107,810,58,23,9,2,8
8595,859,58,21,7,1,8
8850,885,58,35,10,2,9
1130,113,57,20,4,3,9
1474,147,57,22,8,1,8
1740,174,57,30,6,2,9
5221,522,57,11,6,1,9
5469,546,57,22,6,2,9
8196,819,57,17,6,2,9
9415,941,57,21,6,2,9
9707,970,57,18,7,1,9
9985,998,57,24,7,2,8
4300,430,56,28,6,1,9
5083,508,56,27,8,1,9
5189,518,56,19,7,1,9
5522,552,56,15,9,2,8
6876,687,56,18,7,1,9
7200,720,56,19,6,2,9
214,21,55,14,6,1,8
7087,708,55,24,7,1,8
7902,790,55,21,6,3,9
585,58,54,20,5,1,9
1098,109,54,19,6,1,8
1330,133,54,21,9,2,9
1499,149,54,15,6,1,8
2544,254,54,16,6,1,7
4293,429,54,26,7,3,9
5525,552,54,21,7,2,9
6946,694,54,21,8,3,9
8785,878,54,17,10,2,7
9442,944,54,18,6,2,9
9780,978,54,31,8,1,9
1110,111,53,25,11,2,7
3740,374,53,16,9,1,8
7833,783,53,21,6,2,9
9061,906,53,26,9,2,9
345,34,52,28,7,2,8
502,50,52,20,7,1,9
4439,443,52,20,6,3,9
4501,450,52,14,5,1,9
6273,627,52,17,5,2,7
8397,839,52,28,5,3,9
307,30,51,11,7,1,7
587,58,51,42,6,2,8
726,72,51,14,4,1,8
1027,102,51,27,9,2,9
1486,148,51,23,8,2,8
3952,395,51,26,8,1,9
4432,443,51,23,12,2,8
5392,539,51,20,4,3,9
5399,539,51,17,8,2,9
7355,735,51,18,6,3,9
7664,766,51,18,6,1,8
9045,904,51,23,7,2,9
54,5,50,17,2,2,8
1938,193,50,15,5,1,8
2700,270,50,21,9,1,8
4548,454,50,13,6,1,8
4889,488,50,23,8,1,8
5637,563,50,19,10,2,8
6083,608,50,13,6,1,8
6599,659,50,17,8,2,9
784,78,49,26,7,3,9
2406,240,49,16,7,1,8
4816,481,49,18,6,1,9
9170,917,49,21,5,3,9
9907,990,49,16,6,2,8
34,3,48,18,4,2,7
506,50,48,14,6,1,9
625,62,48,31,7,3,9
687,68,48,20,7,2,9
2197,219,48,13,7,1,9
2596,259,48,14,7,1,8
4624,462,48,18,4,2,9
5824,582,48,25,9,2,9
5930,593,48,21,8,1,8
7507,750,48,16,7,2,9
8278,827,48,21,6,3,8
8532,853,48,17,6,2,9
272,27,47,11,5,1,8
942,94,47,11,7,1,7
1550,155,47,19,6,1,7
2901,290,47,15,7,1,9
2913,291,47,19,10,1,9
3128,312,47,11,3,1,9
3142,314,47,17,8,3,9
4025,402,47,16,8,1,8
4603,460,47,9,4,1,9
5747,574,47,17,7,1,9
5971,597,47,16,6,1,8
6942,694,47,18,5,3,9
8418,841,47,10,6,1,7
7,0,46,38,12,2,6
1377,137,46,13,5,1,8
1538,153,46,45,7,3,2
2593,259,46,20,8,1,9
2805,280,46,21,8,1,9
2880,288,46,17,9,1,7
3270,327,46,37,6,2,9
3439,343,46,28,9,3,9
5246,524,46,17,5,3,9
5490,549,46,24,8,1,9
6047,604,46,17,7,1,9
6181,618,46,18,3,2,6
6221,622,46,12,6,2,8
6956,695,46,23,7,2,9
9463,946,46,12,6,1,8
9481,948,46,16,9,1,8
9864,986,46,17,4,2,8
