image_id,group,class_id,vote_count
4187,top,418,2188
8282,top,828,1048
4907,top,490,943
9046,top,904,881
2750,top,275,624
848,top,84,570
8156,top,815,561
9049,top,904,542
228,top,22,522
9138,top,913,428
7376,top,737,392
5882,top,588,390
4116,top,411,383
4238,top,423,380
8906,top,890,377
6111,top,611,370
1091,top,109,355
1092,top,109,348
8078,top,807,344
1382,top,138,342
8858,top,885,331
4247,top,424,330
8904,top,890,296
9043,top,904,288
4117,top,411,286
241,top,24,284
6418,top,641,280
9048,top,904,277
4226,top,422,273
4222,top,422,270
9503,top,950,256
261,top,26,255
779,top,77,250
5170,top,517,233
8541,top,854,231
3988,top,398,226
9056,top,905,226
5080,top,508,218
8855,top,885,214
7265,top,726,213
840,top,84,211
1118,top,111,208
2883,top,288,207
3288,top,328,204
5338,top,533,198
4469,top,446,188
7785,top,778,188
8582,top,858,187
9469,top,946,186
8545,top,854,185
4180,control,418,
8287,control,828,
4905,control,490,
9044,control,904,
9040,control,904,
9041,control,904,
9045,control,904,
2755,control,275,
847,control,84,
846,control,84,
8157,control,815,
227,control,22,
9134,control,913,
7371,control,737,
5888,control,588,
4114,control,411,
4113,control,411,
4231,control,423,
8908,control,890,
8909,control,890,
6114,control,611,
1096,control,109,
1097,control,109,
8074,control,807,
1383,control,138,
8850,control,885,
8854,control,885,
4240,control,424,
248,control,24,
6417,control,641,
4227,control,422,
4221,control,422,
9507,control,950,
267,control,26,
773,control,77,
5171,control,517,
8548,control,854,
8544,control,854,
3986,control,398,
9058,control,905,
5087,control,508,
7261,control,726,
1113,control,111,
2885,control,288,
3284,control,328,
5330,control,533,
4464,control,446,
7781,control,778,
8587,control,858,
9466,control,946,
